City,Population,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area,Fields/ Diamonds,Tennis_dedicdated,Pickleball_dedicated,Pickleball_combined,Hoops,Community_garden_sites,Dog_parks,Playgrounds,Rec_senior_centers,Restrooms,Skateparks,Splashpads,Swimming_pools,Disc_golf_courses,investment_dollars
"Milwaukee, WI",573214.0,9.774255339192692,4.1520269916645445,0.09491021818674616,4.274145432595854,5.408102384100877,0.0,0.6280376962181664,8.966982662670485,0.006978196624646293,0.523364746848472,4.867292145690789,0.9420565443272495,3.768226177308998,0.0,2.61682373424236,3.838008143555461,0.6978196624646293,199.63360700192248
"Minneapolis, MN",434200.0,11.722708429295256,4.122524182404422,0.14991311518864311,5.089820359281438,4.882542607093505,0.5527406725011516,0.9212344541685858,9.051128512206356,0.09903270382312299,2.0727775218793183,4.030400736987563,2.2570244127130357,3.6388760939659144,1.6121602947950253,4.375863657300783,0.921234454168586,0.6909258406264394,323.5770040948871
"Nashville/Davidson, TN",719552.0,34.508972249399626,3.2659210175220132,0.08295997835042247,2.8211998576892285,2.5015565240594144,0.22236057991639244,0.528106377301432,3.9746953660055144,0.009728275371342167,1.3897536244774527,2.3069910166325713,0.7782620297073735,1.0006226096237658,0.27795072489549055,0.6948768122387263,1.5287289869251979,0.6948768122387263,160.31139686916305
"New Orleans, LA",382083.0,64.74601068354258,5.836428210624393,0.22992954801052132,0.9945483049494481,3.1406788577350992,0.7851697144337748,0.7851697144337748,1.6750287241253863,0.005234464762891832,0.7851697144337748,2.6434047052603753,0.8898590096916115,2.774266324332671,0.2617232381445916,0.2617232381445916,4.449295048458057,0.2617232381445916,157.62907095055263
"New York, NY",8688059.0,4.477927693630995,4.936660766230984,0.2089606350809159,1.6033500693307905,1.5446488105110703,0.0851743755423392,0.0851743755423392,4.594812258986731,0.04511939893594185,1.8185880183364318,2.2490639163477137,0.3545095630681145,0.8655558163221498,0.4834221314565198,6.8254600941361,0.7596633494316739,0.1611407104855066,200.95451752562914
"Newark, NJ",313706.0,2.7188195316634047,3.1558210553830657,0.06118436154949784,2.1995116446609244,2.3588965464479483,0.3825237642888565,0.6375396071480941,2.6139123893071856,0.0031876980357404706,0.31876980357404705,1.0200633714369505,1.0200633714369505,1.8488648607294729,0.31876980357404705,2.5501584285923764,1.9126188214442823,0.0,23.09324575749269
"Norfolk, VA",237390.0,7.548759425418088,6.992712414170774,0.05466914793007718,3.706980074982097,11.205189772104974,0.9267450187455243,0.9267450187455243,17.734529676902987,0.016849909431736802,5.4762205653144616,6.950587640591431,2.0219891318084167,0.6739963772694721,0.8424954715868402,1.2637432073802604,2.1062386789671006,0.8424954715868402,58.9608037406799
"North Las Vegas, NV",283177.0,59.7823975817245,1.2006624831818968,0.2608635355029586,1.4125440978610553,1.2006624831818968,0.21188161467915828,0.3531360244652638,6.780211669733065,0.0035313602446526374,1.412544097861055,0.9887808685027385,0.282508819572211,1.0594080733957913,0.7062720489305275,2.4719521712568464,1.0594080733957913,0.35313602446526376,60.50646966384982
"Oakland, CA",441066.0,11.170663800882409,3.695592042914212,0.14759893352505918,2.4712854765499945,1.904476881011005,0.18137875057247665,0.22672343821559585,2.1765450068697203,0.03174128135018342,4.081021887880725,2.8340429776949483,1.0882725034348602,1.2243065663642176,0.9068937528623833,0.22672343821559582,1.3603406292935751,0.22672343821559582,76.20139400905987
"Oklahoma City, OK",712357.0,36.21911485392859,2.7795052199950305,0.06776026346751829,3.6217795290844337,2.4145196860562894,0.08422743090894032,0.5895920163625822,2.2320269190869184,0.0,0.42113715454470163,1.9512688160571174,0.7018952575745028,1.108994506967714,0.7018952575745027,3.369097236357613,0.8422743090894033,0.42113715454470163,110.1504223898972
